Date,INDU,SPX,AS30,UKX,ASX
8/13/1920,85.89,NA,NA,NA,NA
8/16/1920,85.07,NA,NA,NA,NA
8/17/1920,83.9,NA,NA,NA,NA
8/18/1920,84.01,NA,NA,NA,NA
8/19/1920,85.31,NA,NA,NA,NA
8/20/1920,86.22,NA,NA,NA,NA
8/23/1920,85.78,NA,NA,NA,NA
8/24/1920,87.29,NA,NA,NA,NA
8/25/1920,86.93,NA,NA,NA,NA
8/26/1920,87.22,NA,NA,NA,NA
8/27/1920,86.81,NA,NA,NA,NA
8/30/1920,86.43,NA,NA,NA,NA
8/31/1920,86.16,NA,NA,NA,NA
9/1/1920,86.34,NA,NA,NA,NA
9/2/1920,87.22,NA,NA,NA,NA
9/3/1920,88.05,NA,NA,NA,NA
9/6/1920,88.05,NA,NA,NA,NA
9/7/1920,88.21,NA,NA,NA,NA
9/8/1920,87.13,NA,NA,NA,NA
9/9/1920,88.33,NA,NA,NA,NA
9/10/1920,87.98,NA,NA,NA,NA
9/13/1920,86.96,NA,NA,NA,NA
9/14/1920,87.64,NA,NA,NA,NA
9/15/1920,87.82,NA,NA,NA,NA
9/16/1920,88.63,NA,NA,NA,NA
9/17/1920,89.95,NA,NA,NA,NA
9/20/1920,88.88,NA,NA,NA,NA
9/21/1920,87.96,NA,NA,NA,NA
9/22/1920,87.45,NA,NA,NA,NA
9/23/1920,86.47,NA,NA,NA,NA
9/24/1920,85.9,NA,NA,NA,NA
9/27/1920,83.82,NA,NA,NA,NA
9/28/1920,84.53,NA,NA,NA,NA
9/29/1920,83.83,NA,NA,NA,NA
9/30/1920,82.95,NA,NA,NA,NA
10/1/1920,84,NA,NA,NA,NA
10/4/1920,85.25,NA,NA,NA,NA
10/5/1920,85.56,NA,NA,NA,NA
10/6/1920,85.6,NA,NA,NA,NA
10/7/1920,85.23,NA,NA,NA,NA
10/8/1920,84.4,NA,NA,NA,NA
10/11/1920,84,NA,NA,NA,NA
10/12/1920,84,NA,NA,NA,NA
10/13/1920,84.39,NA,NA,NA,NA
10/14/1920,85.22,NA,NA,NA,NA
10/15/1920,85.4,NA,NA,NA,NA
10/18/1920,84.31,NA,NA,NA,NA
10/19/1920,84.6,NA,NA,NA,NA
10/20/1920,85.26,NA,NA,NA,NA
10/21/1920,84.65,NA,NA,NA,NA
10/22/1920,85.06,NA,NA,NA,NA
10/25/1920,85.73,NA,NA,NA,NA
10/26/1920,85.61,NA,NA,NA,NA
10/27/1920,84.92,NA,NA,NA,NA
10/28/1920,84.61,NA,NA,NA,NA
10/29/1920,85.08,NA,NA,NA,NA
11/1/1920,85.48,NA,NA,NA,NA
11/2/1920,85.48,NA,NA,NA,NA
11/3/1920,84.99,NA,NA,NA,NA
11/4/1920,84.45,NA,NA,NA,NA
11/5/1920,83.48,NA,NA,NA,NA
11/8/1920,81.51,NA,NA,NA,NA
11/9/1920,79.94,NA,NA,NA,NA
11/10/1920,80.62,NA,NA,NA,NA
11/11/1920,79.95,NA,NA,NA,NA
11/12/1920,77.56,NA,NA,NA,NA
11/15/1920,76.63,NA,NA,NA,NA
11/16/1920,76.65,NA,NA,NA,NA
11/17/1920,75.21,NA,NA,NA,NA
11/18/1920,74.36,NA,NA,NA,NA
11/19/1920,73.12,NA,NA,NA,NA
11/22/1920,77.15,NA,NA,NA,NA
11/23/1920,77.2,NA,NA,NA,NA
11/24/1920,76.65,NA,NA,NA,NA
11/25/1920,76.65,NA,NA,NA,NA
11/26/1920,75.53,NA,NA,NA,NA
11/29/1920,76.18,NA,NA,NA,NA
11/30/1920,76.04,NA,NA,NA,NA
12/1/1920,76.5,NA,NA,NA,NA
12/2/1920,77.3,NA,NA,NA,NA
12/3/1920,77.08,NA,NA,NA,NA
12/6/1920,76.73,NA,NA,NA,NA
12/7/1920,76.73,NA,NA,NA,NA
12/8/1920,75.49,NA,NA,NA,NA
12/9/1920,74.22,NA,NA,NA,NA
12/10/1920,73.29,NA,NA,NA,NA
12/13/1920,70.48,NA,NA,NA,NA
12/14/1920,72.29,NA,NA,NA,NA
12/15/1920,71.28,NA,NA,NA,NA
12/16/1920,70.6,NA,NA,NA,NA
12/17/1920,70.26,NA,NA,NA,NA
12/20/1920,68.52,NA,NA,NA,NA
12/21/1920,66.75,NA,NA,NA,NA
12/22/1920,67.02,NA,NA,NA,NA
12/23/1920,69.63,NA,NA,NA,NA
12/24/1920,68.91,NA,NA,NA,NA
12/27/1920,68.01,NA,NA,NA,NA
12/28/1920,67.96,NA,NA,NA,NA
12/29/1920,69.2,NA,NA,NA,NA
12/30/1920,70.03,NA,NA,NA,NA
12/31/1920,71.95,NA,NA,NA,NA
1/3/1921,72.67,NA,NA,NA,NA
1/4/1921,72.76,NA,NA,NA,NA
1/5/1921,73.13,NA,NA,NA,NA
1/6/1921,74.31,NA,NA,NA,NA
1/7/1921,75.21,NA,NA,NA,NA
1/10/1921,76,NA,NA,NA,NA
1/11/1921,76.14,NA,NA,NA,NA
1/12/1921,75.88,NA,NA,NA,NA
1/13/1921,74.43,NA,NA,NA,NA
1/14/1921,74.48,NA,NA,NA,NA
1/17/1921,75.21,NA,NA,NA,NA
1/18/1921,75.4,NA,NA,NA,NA
1/19/1921,76.76,NA,NA,NA,NA
1/20/1921,76.08,NA,NA,NA,NA
1/21/1921,74.65,NA,NA,NA,NA
1/24/1921,74.77,NA,NA,NA,NA
1/25/1921,74.98,NA,NA,NA,NA
1/26/1921,75.19,NA,NA,NA,NA
1/27/1921,75.71,NA,NA,NA,NA
1/28/1921,76.23,NA,NA,NA,NA
1/31/1921,76.13,NA,NA,NA,NA
2/1/1921,75.48,NA,NA,NA,NA
2/2/1921,74.98,NA,NA,NA,NA
2/3/1921,74.34,NA,NA,NA,NA
2/4/1921,74.74,NA,NA,NA,NA
2/7/1921,74.8,NA,NA,NA,NA
2/8/1921,75.54,NA,NA,NA,NA
2/9/1921,75.48,NA,NA,NA,NA
2/10/1921,75.59,NA,NA,NA,NA
2/11/1921,75.59,NA,NA,NA,NA
2/14/1921,76.41,NA,NA,NA,NA
2/15/1921,76.9,NA,NA,NA,NA
2/16/1921,77.14,NA,NA,NA,NA
2/17/1921,76.4,NA,NA,NA,NA
2/18/1921,76.28,NA,NA,NA,NA
2/21/1921,75.1,NA,NA,NA,NA
2/22/1921,75.1,NA,NA,NA,NA
2/23/1921,75.66,NA,NA,NA,NA
2/24/1921,74.66,NA,NA,NA,NA
2/25/1921,75.23,NA,NA,NA,NA
2/28/1921,74.98,NA,NA,NA,NA
3/1/1921,74.71,NA,NA,NA,NA
3/2/1921,75.19,NA,NA,NA,NA
3/3/1921,75.23,NA,NA,NA,NA
3/4/1921,75.11,NA,NA,NA,NA
3/7/1921,75.26,NA,NA,NA,NA
3/8/1921,74.91,NA,NA,NA,NA
3/9/1921,74.6,NA,NA,NA,NA
3/10/1921,73.6,NA,NA,NA,NA
3/11/1921,72.25,NA,NA,NA,NA
3/14/1921,72.99,NA,NA,NA,NA
3/15/1921,73.87,NA,NA,NA,NA
3/16/1921,75.2,NA,NA,NA,NA
3/17/1921,75.44,NA,NA,NA,NA
3/18/1921,76.3,NA,NA,NA,NA
3/21/1921,76.03,NA,NA,NA,NA
3/22/1921,76.6,NA,NA,NA,NA
3/23/1921,77.78,NA,NA,NA,NA
3/24/1921,77.39,NA,NA,NA,NA
3/25/1921,77.39,NA,NA,NA,NA
3/28/1921,76.19,NA,NA,NA,NA
3/29/1921,77.13,NA,NA,NA,NA
3/30/1921,76.26,NA,NA,NA,NA
3/31/1921,75.76,NA,NA,NA,NA
4/1/1921,75.72,NA,NA,NA,NA
4/4/1921,75.16,NA,NA,NA,NA
4/5/1921,76.16,NA,NA,NA,NA
4/6/1921,76.58,NA,NA,NA,NA
4/7/1921,76.16,NA,NA,NA,NA
4/8/1921,75.61,NA,NA,NA,NA
4/11/1921,76.15,NA,NA,NA,NA
4/12/1921,76.28,NA,NA,NA,NA
4/13/1921,75.93,NA,NA,NA,NA
4/14/1921,75.06,NA,NA,NA,NA
4/15/1921,76.18,NA,NA,NA,NA
4/18/1921,76.15,NA,NA,NA,NA
4/19/1921,76.1,NA,NA,NA,NA
4/20/1921,76.08,NA,NA,NA,NA
4/21/1921,76.54,NA,NA,NA,NA
4/22/1921,77.63,NA,NA,NA,NA
4/25/1921,78.55,NA,NA,NA,NA
4/26/1921,78.86,NA,NA,NA,NA
