HISTORICAL DATA FOR NYSE COMPOSITE INDEX (SYMBOL NYA) ,,,
DATE,CLOSING PRICE,TOTAL RETURN,MARKET CAP
3/14/1980,635.16,N/A,N/A
3/17/1980,615.6,N/A,N/A
3/18/1980,624.8,N/A,N/A
3/19/1980,627.13,N/A,N/A
3/20/1980,620.26,N/A,N/A
3/21/1980,615.81,N/A,N/A
3/24/1980,597.1,N/A,N/A
3/25/1980,594.67,N/A,N/A
3/26/1980,591.92,N/A,N/A
3/27/1980,584.73,N/A,N/A
3/28/1980,600.8,N/A,N/A
3/31/1980,609.58,N/A,N/A
4/1/1980,611.48,N/A,N/A
4/2/1980,615.39,N/A,N/A
4/3/1980,612.75,N/A,N/A
4/7/1980,600.91,N/A,N/A
4/8/1980,606.72,N/A,N/A
4/9/1980,617.61,N/A,N/A
4/10/1980,624.38,N/A,N/A
4/11/1980,623.85,N/A,N/A
4/14/1980,617.72,N/A,N/A
4/15/1980,616.45,N/A,N/A
4/16/1980,610.21,N/A,N/A
4/17/1980,607.46,N/A,N/A
4/18/1980,604.92,N/A,N/A
4/21/1980,599.85,N/A,N/A
4/22/1980,621.1,N/A,N/A
4/23/1980,623.32,N/A,N/A
4/24/1980,627.87,N/A,N/A
4/25/1980,631.57,N/A,N/A
4/28/1980,634.53,N/A,N/A
4/29/1980,636.22,N/A,N/A
4/30/1980,638.23,N/A,N/A
5/1/1980,633.79,N/A,N/A
5/2/1980,634.95,N/A,N/A
5/5/1980,639.71,N/A,N/A
5/6/1980,639.6,N/A,N/A
5/7/1980,645.21,N/A,N/A
5/8/1980,639.92,N/A,N/A
5/9/1980,632.2,N/A,N/A
5/12/1980,632.1,N/A,N/A
5/13/1980,640.13,N/A,N/A
5/14/1980,643.94,N/A,N/A
5/15/1980,645.42,N/A,N/A
5/16/1980,647.43,N/A,N/A
5/19/1980,649.12,N/A,N/A
5/20/1980,648.7,N/A,N/A
5/21/1980,649.44,N/A,N/A
5/22/1980,657.58,N/A,N/A
5/23/1980,666.67,N/A,N/A
5/27/1980,671.43,N/A,N/A
5/28/1980,675.45,N/A,N/A
5/29/1980,665.83,N/A,N/A
5/30/1980,670.8,N/A,N/A
6/2/1980,668.47,N/A,N/A
6/3/1980,667.31,N/A,N/A
6/4/1980,679.26,N/A,N/A
6/5/1980,680.74,N/A,N/A
6/6/1980,683.8,N/A,N/A
6/9/1980,686.66,N/A,N/A
6/10/1980,691.84,N/A,N/A
6/11/1980,699.66,N/A,N/A
6/12/1980,697.02,N/A,N/A
6/13/1980,699.24,N/A,N/A
6/16/1980,700.62,N/A,N/A
6/17/1980,700.51,N/A,N/A
6/18/1980,701.67,N/A,N/A
6/19/1980,692.9,N/A,N/A
6/20/1980,689.41,N/A,N/A
6/23/1980,692.16,N/A,N/A
6/24/1980,696.17,N/A,N/A
6/25/1980,705.48,N/A,N/A
6/26/1980,702.52,N/A,N/A
6/27/1980,701.46,N/A,N/A
6/30/1980,690.89,N/A,N/A
7/1/1980,695.01,N/A,N/A
7/2/1980,699.56,N/A,N/A
7/3/1980,709.18,N/A,N/A
7/7/1980,714.57,N/A,N/A
7/8/1980,712.35,N/A,N/A
7/9/1980,713.3,N/A,N/A
7/10/1980,707.91,N/A,N/A
7/11/1980,713.09,N/A,N/A
7/14/1980,726.2,N/A,N/A
7/15/1980,722.71,N/A,N/A
7/16/1980,724.72,N/A,N/A
